ComplaintID,BuildingID,BoroughID,Borough,HouseNumber,StreetName,Zip,Block,Lot,Apartment,CommunityBoard,ReceivedDate,StatusID,Status,StatusDate
5819673,811814,4,QUEENS,82-10,ROCKAWAY BEACH BOULEVARD,11693,16114,2,4E,14,12/27/2011,2,CLOSE,02/20/2015
5826151,806981,2,BRONX,2595,THIRD AVENUE,10451,2325,1,12H,1,12/30/2011,2,CLOSE,02/20/2015
5831460,811151,4,QUEENS,54-75,ALMEDA AVENUE,11692,16002,1,BLDG,14,01/03/2012,2,CLOSE,02/20/2015
5830351,51011,2,BRONX,1057,BOYNTON AVENUE,10472,3714,36,6E,9,01/03/2012,2,CLOSE,02/20/2015
5842276,804785,1,MANHATTAN,819,F D R DRIVE,10009,362,10,BLDG,3,01/08/2012,2,CLOSE,02/20/2015
5843548,804860,1,MANHATTAN,99,FT WASHINGTON AVENUE,10032,2136,235,2G,12,01/09/2012,2,CLOSE,02/20/2015
5890154,807123,2,BRONX,2415,WILLIAMSBRIDGE ROAD,10469,4444,1,4D,11,02/06/2012,2,CLOSE,02/20/2015
5914792,809107,3,BROOKLYN,1620,PACIFIC STREET,11213,1341,12,1A,8,02/24/2012,2,CLOSE,02/20/2015
5920453,806084,1,MANHATTAN,49,WEST 225 STREET,10463,2215,116,BLDG,8,02/29/2012,2,CLOSE,02/20/2015
5969793,811171,4,QUEENS,3-06,ASTORIA BOULEVARD,11102,490,101,6A,1,04/23/2012,2,CLOSE,02/20/2015
5982353,205716,3,BROOKLYN,1516,BEDFORD AVENUE,11216,1252,80,3D,8,05/04/2012,2,CLOSE,05/30/2012
5992449,808723,3,BROOKLYN,2726,LINDEN BOULEVARD,11208,4488,1,5E,5,05/18/2012,2,CLOSE,02/20/2015
6016040,50364,2,BRONX,1096,BOSTON ROAD,10456,2634,1,2D,3,06/19/2012,2,CLOSE,02/01/2017
6016665,806084,1,MANHATTAN,49,WEST 225 STREET,10463,2215,116,12K,8,06/20/2012,2,CLOSE,02/20/2015
6023881,806084,1,MANHATTAN,49,WEST 225 STREET,10463,2215,116,5A,8,07/01/2012,2,CLOSE,02/20/2015
6030339,56839,2,BRONX,1236,CLAY AVENUE,10456,2427,6,B,4,07/10/2012,2,CLOSE,02/20/2015
6031104,62693,2,BRONX,445,EAST 137 STREET,10454,2282,57,BLDG,1,07/11/2012,2,CLOSE,02/20/2015
6038940,290658,3,BROOKLYN,228,EVERGREEN AVENUE,11221,3215,29,1,4,07/20/2012,2,CLOSE,08/24/2017
6040636,396124,3,BROOKLYN,1113,WILLOUGHBY AVENUE,11237,3197,52,2L,4,07/23/2012,2,CLOSE,07/30/2012
6051917,56840,2,BRONX,1240,CLAY AVENUE,10456,2427,7,C,4,08/05/2012,2,CLOSE,02/20/2015
6060760,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,5N,6,08/19/2012,2,CLOSE,02/24/2016
6068951,21819,1,MANHATTAN,452,FT WASHINGTON AVENUE,10033,2176,100,NA,12,09/04/2012,2,CLOSE,09/07/2012
6072391,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,09/09/2012,2,CLOSE,02/24/2016
6072179,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,09/09/2012,2,CLOSE,02/24/2016
6072819,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,1J,6,09/10/2012,2,CLOSE,02/24/2016
6082830,804998,1,MANHATTAN,1740,LEXINGTON AVENUE,10029,1636,1,1H,11,09/26/2012,2,CLOSE,02/20/2015
6084442,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,09/28/2012,2,CLOSE,02/24/2016
6090326,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,10/08/2012,2,CLOSE,02/24/2016
6092241,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,10/09/2012,2,CLOSE,02/24/2016
6097793,4108,1,MANHATTAN,2654,FREDERICK DOUGLASS BOULEVARD,10030,2027,1,18E,10,10/12/2012,2,CLOSE,02/20/2015
6100971,702538,4,QUEENS,41-01,VERNON BOULEVARD,11101,465,1,5E,1,10/15/2012,2,CLOSE,02/20/2015
6102313,811183,4,QUEENS,434,B 58 STREET,11692,16002,1,6E,14,10/16/2012,2,CLOSE,02/20/2015
6112515,352213,3,BROOKLYN,280,PARKSIDE AVENUE,11226,5055,24,D3W,9,10/27/2012,2,CLOSE,07/14/2015
6114329,809595,3,BROOKLYN,512,STONE AVENUE,11212,3544,1,4F,16,10/29/2012,2,CLOSE,02/20/2015
6114283,56839,2,BRONX,1236,CLAY AVENUE,10456,2427,6,1B,4,11/01/2012,2,CLOSE,02/20/2015
6120405,351270,3,BROOKLYN,65,PARK AVENUE,11205,2025,150,2A,3,11/03/2012,2,CLOSE,02/20/2015
6120485,358,1,MANHATTAN,1780,1 AVENUE,10128,1573,20,19E,8,11/03/2012,2,CLOSE,02/20/2015
