"addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_num","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","juris_desc","ky_cd","lat_lon_latitude","lat_lon_longitude","latitude","law_cat_cd","loc_of_occur_desc","longitude","ofns_desc","pd_cd","pd_desc","prem_typ_desc","rpt_dt","x_coord_cd","y_coord_cd"
24,"MANHATTAN","2016-08-11T00:00:00","08:00:00",491159932,"2016-10-17T00:00:00","08:00:00","ATTEMPTED",NULL,"N.Y. POLICE DEPT",340,40.79605784,-73.967052307,40.79605784,"MISDEMEANOR","INSIDE",-73.967052307,"FRAUDS",718.0,"FRAUD\,UNCLASSIFIED-MISDEMEANOR","RESIDENCE - APT. HOUSE","2018-04-28T00:00:00",993373.0,229301.0
19,"MANHATTAN","2016-03-29T00:00:00","12:00:00",797151145,"2018-03-24T00:00:00","19:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.776412362,-73.948250846,40.776412362,"FELONY","INSIDE",-73.948250846,"GRAND LARCENY",412.0,"LARCENY\,GRAND FROM RESIDENCE\, UNATTENDED","RESIDENCE - APT. HOUSE","2018-04-26T00:00:00",998583.0,222146.0
14,"MANHATTAN","2016-04-28T00:00:00","08:00:00",480113710,"2016-04-28T00:00:00","20:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",112,40.750897813,-73.99626231,40.750897813,"FELONY","INSIDE",-73.99626231,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","PUBLIC BUILDING","2018-04-20T00:00:00",985286.0,212846.0
14,"MANHATTAN","2016-12-12T00:00:00","00:00:00",945860965,"2017-03-31T00:00:00","23:59:00","COMPLETED",NULL,"PORT AUTHORITY",115,40.753938938,-73.994843655,40.753938938,"FELONY","INSIDE",-73.994843655,"PROSTITUTION & RELATED OFFENSES",586.0,"SEX TRAFFICKING","BUS TERMINAL","2018-04-18T00:00:00",985679.0,213954.0
25,"MANHATTAN","2016-10-07T00:00:00","08:00:00",776640196,"2016-10-07T00:00:00","18:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",112,40.804046007,-73.936620103,40.804046007,"FELONY","INSIDE",-73.936620103,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","PUBLIC BUILDING","2018-04-17T00:00:00",1001797.0,232216.0
18,"MANHATTAN","2016-04-16T00:00:00","20:15:00",150186162,"2018-04-16T00:00:00","20:25:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.763865814,-73.984962561,40.763865814,"FELONY","INSIDE",-73.984962561,"GRAND LARCENY",411.0,"LARCENY\,GRAND FROM EATERY\, UNATTENDED","RESTAURANT/DINER","2018-04-17T00:00:00",988416.0,217571.0
25,"MANHATTAN","2016-02-11T00:00:00","08:00:00",407166170,"2016-02-11T00:00:00","20:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",112,40.804046007,-73.936620103,40.804046007,"FELONY","INSIDE",-73.936620103,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","PUBLIC BUILDING","2018-04-17T00:00:00",1001797.0,232216.0
18,"MANHATTAN","2016-04-08T00:00:00","03:00:00",587371224,"2016-04-08T00:00:00","06:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",341,40.768523904,-73.987138437,40.768523904,"MISDEMEANOR","FRONT OF",-73.987138437,"PETIT LARCENY",339.0,"LARCENY\,PETIT FROM OPEN AREAS\,","STREET","2018-04-16T00:00:00",987813.0,219268.0
23,"MANHATTAN","2016-04-14T00:00:00","14:25:00",246441119,"2016-04-14T00:00:00","14:30:00","COMPLETED",NULL,"N.Y. HOUSING POLICE",351,40.796341237,-73.941199816,40.796341237,"MISDEMEANOR","INSIDE",-73.941199816,"CRIMINAL MISCHIEF & RELATED OF",258.0,"CRIMINAL MISCHIEF 4TH\, GRAFFIT","RESIDENCE - PUBLIC HOUSING","2018-04-14T00:00:00",1000531.0,229408.0
20,"MANHATTAN","2016-04-13T00:00:00","14:00:00",724929407,"2018-04-13T00:00:00","14:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",340,40.778773711,-73.97595045,40.778773711,"MISDEMEANOR","INSIDE",-73.97595045,"FRAUDS",718.0,"FRAUD\,UNCLASSIFIED-MISDEMEANOR","RESIDENCE - APT. HOUSE","2018-04-14T00:00:00",990911.0,223003.0
